epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
114,9764.99,1.02786,0.69292,0.00653,0.91863,0.87984,0.93936,0.66747,1.02615,0.45116,0.00817,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,10079,1.02356,0.69015,0.0065,0.9203,0.87928,0.93957,0.66791,1.02551,0.45059,0.00817,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,10392.6,1.02576,0.68651,0.00655,0.9197,0.87913,0.93976,0.66824,1.02548,0.45045,0.00817,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,10707.2,1.02354,0.69008,0.00648,0.92093,0.87884,0.93982,0.66858,1.02437,0.4503,0.00817,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,11022.1,1.02445,0.69199,0.0065,0.92346,0.8807,0.94064,0.66903,1.02375,0.44874,0.00816,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,11336.2,1.01924,0.68373,0.00648,0.92321,0.87936,0.94071,0.66891,1.02342,0.44783,0.00816,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,11650.5,1.01419,0.68221,0.00647,0.92243,0.87941,0.94052,0.66916,1.02282,0.44696,0.00815,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,11965.2,1.01863,0.68167,0.00641,0.92083,0.87904,0.94013,0.66972,1.022,0.44748,0.00814,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,12280.6,1.01285,0.68052,0.0064,0.91875,0.88041,0.94007,0.67009,1.02084,0.44719,0.00812,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,12595.6,1.01011,0.67619,0.00644,0.91769,0.88049,0.9405,0.67083,1.02019,0.44708,0.00812,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,12910.5,1.01208,0.67012,0.00641,0.91669,0.87976,0.94038,0.67121,1.01927,0.44736,0.0081,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,13225.6,1.01141,0.67002,0.00638,0.91731,0.88066,0.94102,0.67169,1.01881,0.44638,0.00811,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,13540.8,1.00799,0.66602,0.00631,0.91754,0.88106,0.94085,0.67189,1.01813,0.44571,0.0081,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,13855.5,1.0043,0.66259,0.00633,0.92041,0.87993,0.94091,0.67221,1.01711,0.44443,0.00809,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,14170.5,1.00647,0.66815,0.00638,0.92159,0.88078,0.94065,0.67252,1.01664,0.44413,0.0081,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,14484.6,1.00022,0.66149,0.0063,0.92213,0.88188,0.94088,0.67278,1.01618,0.44304,0.00811,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,14799.3,1.00127,0.66216,0.00634,0.92389,0.88106,0.94108,0.67364,1.01517,0.44159,0.0081,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,15114,1.00105,0.65791,0.00631,0.92082,0.88391,0.94126,0.67388,1.01436,0.44116,0.00809,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,15428.2,0.99578,0.65844,0.00629,0.92123,0.88499,0.94147,0.67456,1.0134,0.44092,0.00808,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,15743.6,0.99596,0.66132,0.00624,0.91891,0.88639,0.94136,0.67464,1.01289,0.44044,0.00808,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
